:START_ID(Document),:END_ID(Organization),:TYPE
Olink蛋白组学与转录组学联合分析揭示中国银屑病患者抗IL-17治疗相关途径和生物标志物,安徽医科大学,PUBLISHED_BY
新型刺激响应性纳米体系的构筑及其在抗菌和细菌相关肿瘤治疗中的性能研究,天津理工大学,PUBLISHED_BY
耐碳青霉烯类鲍曼不动杆菌噬菌体NJ01和NJ02生物学特性及其应用分析,吉林大学,PUBLISHED_BY
初中生数学推理能力现状调查研究,西北师范大学,PUBLISHED_BY
基于宏基因组学马鹿体表蜱携带病毒的发现分析及风险评估,塔里木大学,PUBLISHED_BY
人脸识别技术应用的法律规制研究,山东政法学院,PUBLISHED_BY
基于动态非共价键的自修复聚氨酯的制备及性能表征,北京化工大学,PUBLISHED_BY
流行病传播中交通管控效果分析与管控点选择策略优化,西华大学,PUBLISHED_BY
新质生产力赋能主动健康模式的理论逻辑,中国北京,PUBLISHED_BY
基于计算机视觉的农业害虫检测方法研究,广西大学,PUBLISHED_BY
组织病理图像自动分析网络的设计与实现,黑龙江大学,PUBLISHED_BY
基于分子水平模型的蜡油催化裂化反应过程模拟与优化,石河子大学,PUBLISHED_BY
基于Transformer与MAE的多模态医学图像融合方法研究,中北大学,PUBLISHED_BY
二维亚胺类共价有机框架催化CO2参与的C-N/O键构筑反应研究,河南师范大学,PUBLISHED_BY
基于计算机视觉的互联网远程实时书写系统设计,石家庄铁道大学,PUBLISHED_BY
基于宏基因和非靶向代谢组学探讨蒿芩清胆汤干预肺炎克雷伯菌肺炎的作用机制,成都中医药大学,PUBLISHED_BY
货币政策对企业金融资产投资动机的影响研究,吉林大学,PUBLISHED_BY
基于特征融合的RGB-D视觉显著性物体检测算法研究,中国科学院大学(中国科学院长春光学精密机械与物理研究所),PUBLISHED_BY
BH银行零售业务数字化转型策略优化研究,商务部国际贸易经济合作研究院,PUBLISHED_BY
低维铜基纳米材料的可控制备及其光/电还原二氧化碳性能研究,中国科学技术大学,PUBLISHED_BY
“大智移云”背景下企业财务共享服务中心运行及优化研究,青岛理工大学,PUBLISHED_BY
基于代谢组学的多囊卵巢综合征研究进展,中国四川成都,PUBLISHED_BY
介孔TiO2-x@PDA光催化催化剂电子传输调控及其Cr（Ⅵ）还原减毒研究,昆明理工大学,PUBLISHED_BY
基于宏基因组技术对不同饲养模式下西畴乌骨鸡肠道微生物多样性研究,云南农业大学,PUBLISHED_BY
基于条件相关性的无模型变量选择方法,哈尔滨工业大学,PUBLISHED_BY
基于U-Net网络的医学图像分割方法研究,西北师范大学,PUBLISHED_BY
电化学条件下环状磺酰醛亚胺与胺的C-N偶联反应研究,河南师范大学,PUBLISHED_BY
资源受限场景下的高性能分布式学习压缩技术研究,哈尔滨工业大学,PUBLISHED_BY
基于人工智能的超声影像组学模型对分化型甲状腺癌的诊断价值研究,北京协和医学院,PUBLISHED_BY
基于中文短文本的命名实体识别和实体链接方法研究,浙江科技学院,PUBLISHED_BY
Zr-MOF夹心型纳米催化剂用于芳硝基化合物加氢级联合成β-烯胺酮的研究,东北大学,PUBLISHED_BY
三块鱼海水适应的遗传基础研究,江汉大学,PUBLISHED_BY
罗氏沼虾病原非O1/O139群霍乱弧菌基因组特征及贝莱斯芽孢杆菌抑菌机理初探,扬州大学,PUBLISHED_BY
基于深度学习的小样本图像分类算法研究,西安电子科技大学,PUBLISHED_BY
复合植物多糖对泌乳后期奶牛产奶性能的影响及其微生物组和代谢组机制的研究,山东农业大学,PUBLISHED_BY
基于深度学习的实体和关系联合抽取模型的研究,浙江科技学院,PUBLISHED_BY
基于大数据技术的在线游记数据分析与路线推荐研究,河北经贸大学,PUBLISHED_BY
BiO2-x基纳米光催化材料的设计合成及其性能提高机制分析,黑龙江大学,PUBLISHED_BY
基于尊严疗法的护理模式对晚期肺癌患者的应用研究,南昌大学,PUBLISHED_BY
产胞外多糖开菲尔乳酸菌的筛选及酵母菌和醋酸菌对其生长代谢的影响,内蒙古农业大学,PUBLISHED_BY
西部陇药的中药材图像识别与分类研究,兰州大学,PUBLISHED_BY
中国农村地区吸烟现状及吸烟行为影响因素分析,山西医科大学,PUBLISHED_BY
基于特征融合与双向注意力机制的问答型文本情感分析,南京邮电大学,PUBLISHED_BY
微流控湿法纺丝制备高强高韧再生丝素蛋白纤维及其应用研究,浙江大学,PUBLISHED_BY
光化学邻烯基异腈串联环化反应合成2-三氟甲基喹啉及吲哚类化合物,山东师范大学,PUBLISHED_BY
ChatGPT大语言模型的评论主题特征与情感分析研究,南昌大学,PUBLISHED_BY
一类具有Holling Ⅱ型发病率的随机时滞SIS传染病模型,西北农林科技大学,PUBLISHED_BY
基于深度学习的图像去噪研究与应用,吉林大学,PUBLISHED_BY
知识图谱引导的智能地质构造建模方法研究,电子科技大学,PUBLISHED_BY
慢阻肺病管理效率及多元主体互动研究,北京中医药大学,PUBLISHED_BY
通导一体无线自组网构建及辅助行人定位,武汉大学,PUBLISHED_BY
北京某三甲医院门诊医疗信息系统中简短戒烟干预模块10年应用情况,中国北京,PUBLISHED_BY
基于姿态估计和边缘计算的泳池溺水预警研究,东华大学,PUBLISHED_BY
ChatGPT辅助学术汉语写作的理性审思与教学设计,西南大学,PUBLISHED_BY
广谱性抗菌肽Coprisin的分子改造及性能探究,湖北大学,PUBLISHED_BY
高温凝胶色谱与静态、动态激光光散射联用在聚合物表征中的应用,中国杭州,PUBLISHED_BY
面向静态快照的动态网络表征方法研究,黑龙江大学,PUBLISHED_BY
三级甲等医院全科医学科-社区联合对社区老年高血压/糖尿病患者健康管理的效果研究,河北医科大学,PUBLISHED_BY
生成式人工智能应用的风险与法律规制研究,河北经贸大学,PUBLISHED_BY
中小学人工智能课程教师胜任力研究,华中师范大学,PUBLISHED_BY
基于知识图谱的医疗领域问答系统的研究与实现,浙江师范大学,PUBLISHED_BY
超重力强化硫酸催化碳四烷基化反应过程及液-液传质规律研究,北京化工大学,PUBLISHED_BY
p75NTR调控牙周期性发育和节律性矿化的作用研究,中国福建厦门,PUBLISHED_BY
农田土壤芽孢杆菌噬菌体的分离及基因组分析,中国地质大学(北京),PUBLISHED_BY
具有不同染病期的退化反应扩散模型的时空动力学分析,黑龙江大学,PUBLISHED_BY
头颈鳞状细胞癌多组学整合分型,中国云南昆明,PUBLISHED_BY
“主动式健康”导向下大学校园户外空间设计研究,浙江工商大学,PUBLISHED_BY
冰雪环境下智能驾驶汽车决策规划算法研究,吉林大学,PUBLISHED_BY
糖尿病患者眼表和房水微生物组学分析研究,南京医科大学,PUBLISHED_BY
高In组分AlInN材料的制备及光电特性研究,中南大学,PUBLISHED_BY
基于多智能体的新冠病毒传播建模和重新开放策略研究,云南大学,PUBLISHED_BY
PCN-222（Fe）及Ce-MOF-808系列材料光热协同催化环己烷选择性氧化,辽宁大学,PUBLISHED_BY
一株新根瘤菌的分类鉴定及其结瘤固氮能力研究,中国科学院大学(中国科学院东北地理与农业生态研究所),PUBLISHED_BY
基于机器视觉的食品包装印刷缺陷检测关键技术研究及应用,贵州大学,PUBLISHED_BY
基于多源特征融合输电网故障诊断方法研究,沈阳建筑大学,PUBLISHED_BY
服务型人工智能沟通策略对用户态度的影响研究,北京邮电大学,PUBLISHED_BY
深度学习的对抗攻击与鲁棒性测评,清华大学,PUBLISHED_BY
生物质平台衍生物乙酰丙酸甲酯和丁二酸二甲酯合成的研究,南昌大学,PUBLISHED_BY
基于碱促进和钌（Ⅱ）催化环化反应构筑苯并氮杂环化合物的研究,华侨大学,PUBLISHED_BY
基于深度学习的中草药知识图谱构建及应用,塔里木大学,PUBLISHED_BY
中国南方部分牛场微小扇头蜱鉴定及其携带部分病原检测,湖南农业大学,PUBLISHED_BY
个案工作介入老年癌症患者居家临终关怀的研究,西南大学,PUBLISHED_BY
基于双目结构光相机的机器人视觉定位系统开发,浙江大学,PUBLISHED_BY
面向超声造影的动态灌注表征学习,南京航空航天大学,PUBLISHED_BY
野生种黄毛草莓和栽培品种章姬微生物组的比较研究,云南大学,PUBLISHED_BY
基于深度学习的农业短文本挖掘技术研究,沈阳农业大学,PUBLISHED_BY
基于深度强化学习牵引供电系统故障诊断研究,石家庄铁道大学,PUBLISHED_BY
镓系宽禁带半导体（GaN、Ga2O3、GaON）异质结紫外探测器的研究,浙江理工大学,PUBLISHED_BY
基于Coq的布尔代数模型及应用的形式化,北京邮电大学,PUBLISHED_BY
多肽/蛋白C端水杨醛酯的高效制备及其在蛋白质化学合成与偶联中的应用,华南理工大学,PUBLISHED_BY
基于大模型和多模态Transformer的自然语言事件查询,湖北师范大学,PUBLISHED_BY
好氧甲烷氧化耦合反硝化深度脱氮系统中试研究,贵州大学,PUBLISHED_BY
防风对类风湿性关节炎及伴发抑郁症的药效物质基础研究,吉林农业大学,PUBLISHED_BY
高中语文数字化教学资源应用研究,天水师范学院,PUBLISHED_BY
酸乳中潜在病原菌的耐药性追溯及发酵过程中的减控机制研究,吉林农业大学,PUBLISHED_BY
突出煤层区域应力场定量表征及突出危险动态预测方法研究,北京科技大学,PUBLISHED_BY
基于改进循环神经网络的中文文本分类研究,南京信息工程大学,PUBLISHED_BY
服务失败情境下聊天机器人性别对顾客满意度的影响,广西大学,PUBLISHED_BY
腾冲热泉来源嗜热β-葡萄糖苷酶的挖掘及其嗜热机制研究,大理大学,PUBLISHED_BY
人工智能风险及其治理研究,西北农林科技大学,PUBLISHED_BY
SrTiO3催化辅助化学链燃烧实验与过程模拟研究,华中科技大学,PUBLISHED_BY
鸡肝肿大破裂综合征全病毒谱研究,军事科学院,PUBLISHED_BY
Ti3C2 MXene复合光催化剂的构筑及可见光催化性能研究,扬州大学,PUBLISHED_BY
基于影像基因组学和深度学习的脑胶质瘤患者生存期预测研究,南京航空航天大学,PUBLISHED_BY
基于文本特征的开放式创新平台创意绩效影响因素研究,山东大学,PUBLISHED_BY
永嘉县农村居民健康素养提升策略研究,江西农业大学,PUBLISHED_BY
高等催化原理,化学工业出版社,PUBLISHED_BY
数智时代网络阵地控制及其侦查应用研究,中国人民公安大学,PUBLISHED_BY
生成式人工智能辅助的写作修改对英语写作表现的影响及其过程研究,广东外语外贸大学,PUBLISHED_BY
基于单分子荧光技术的能源电化学表界面过程研究,中国科学技术大学,PUBLISHED_BY
人工智能在连环画创作中的可行性应用研究,鲁迅美术学院,PUBLISHED_BY
胡塞尔技术理性批判及其当代价值研究,云南师范大学,PUBLISHED_BY
二卤卡宾在药用环状小分子合成中的反应研究,扬州大学,PUBLISHED_BY
数字技术赋能思想政治教育高质量发展研究,兰州大学,PUBLISHED_BY
主动训练意图轨迹识别的康复机器人跟踪控制研究,沈阳工业大学,PUBLISHED_BY
基于数据增强的视觉故事生成模型研究,山西大学,PUBLISHED_BY
基于机器视觉的ROV水下设施裂缝检测关键技术研究,浙江科技学院,PUBLISHED_BY
掉头场景下自动驾驶车辆轨迹规划与跟踪控制研究,吉林大学,PUBLISHED_BY
机器人伦理原则和自由意志影响人机信任的认知与情绪机制,闽南师范大学,PUBLISHED_BY
基于大数据挖掘的大型高炉关键工艺参数预测和优化,东北大学,PUBLISHED_BY
基于深度学习的目标检测与跟踪技术研究,青岛科技大学,PUBLISHED_BY
基于多视图立体视觉的三维重建关键技术研究,青海师范大学,PUBLISHED_BY
新疆马铃薯疮痂链霉菌的分离鉴定及其生物活性产物研究,新疆农业大学,PUBLISHED_BY
人工智能生成内容（AIGC）驱动的智慧图书馆服务研究,湖北大学,PUBLISHED_BY
马肠源乳酸菌的分离筛选及融合魏斯氏菌的全基因组学研究,新疆农业大学,PUBLISHED_BY
蚊媒传染病防治,线上会议,PUBLISHED_BY
链路泛洪攻击的智能检测与防御方法研究,中国科学技术大学,PUBLISHED_BY
基于轻量化神经网络的目标检测算法研究与应用,南京信息工程大学,PUBLISHED_BY
耐盐碱解磷菌高效解磷的种间趋同进化及种内变异效应研究,西北农林科技大学,PUBLISHED_BY
泛素折叠修饰因子UFM-1工具箱的化学合成与应用,合肥工业大学,PUBLISHED_BY
低频突变与“高嘌呤、低尿酸”人群遗传学关联研究,新疆医科大学,PUBLISHED_BY
脊柱骨科机器人机械系统设计与试验研究,北方工业大学,PUBLISHED_BY
“双碳”背景下考虑时变特性的多中心车辆-无人机协同配送路径优化,重庆交通大学,PUBLISHED_BY
A物流企业服务提升路径及创新模式设计,中南林业科技大学,PUBLISHED_BY
约翰·泰特及其对类域论的贡献,河北师范大学,PUBLISHED_BY
面向交互式导航的深度强化学习网络视觉记忆编码研究,华东师范大学,PUBLISHED_BY
妇科癌阴道微生物组共性与差异性分析,中国江苏南京,PUBLISHED_BY
基于强化学习的多轮交互医疗辅助问诊系统研究,浙江工商大学,PUBLISHED_BY
基于3D生物打印技术构建人源消化系恶性肿瘤临床前模型及其临床应用研究,北京协和医学院,PUBLISHED_BY
用户情感偏好驱动的产品生成式优化设计方法研究,华东理工大学,PUBLISHED_BY
g-C3N4基Z-Scheme复合材料制备及光催化性能研究,中南林业科技大学,PUBLISHED_BY
《探究ChatGPT的威力：应用、技术及影响》（节选）汉译实践报告,河北经贸大学,PUBLISHED_BY
海南南湾猕猴（Macaca mulatta）重金属、微塑料健康风险评估与粪便微生物宏基因组研究,海南师范大学,PUBLISHED_BY
玉米单倍型标签多态性标记在种质资源分析和基因组学育种中的应用研究,中国湖南长沙,PUBLISHED_BY
多性能导向的寒冷地区办公建筑自适应表皮设计优化研究,山东建筑大学,PUBLISHED_BY
多平台深度学习框架的测试方法研究,天津大学,PUBLISHED_BY
POMs高效催化废旧PET醇解过程研究,天津大学,PUBLISHED_BY
电子健康干预在眼科慢病管理中的研究进展,中国海南海口,PUBLISHED_BY
刑罚执行现代化研究,西南政法大学,PUBLISHED_BY
基于机器视觉的杏鲍菇外观品质分级分选装置研制,福建农林大学,PUBLISHED_BY
基于群智能算法和作物模型的最优化种植决策研究,南昌大学,PUBLISHED_BY
基于FPGA的实时目标跟踪设计与实现,南京信息工程大学,PUBLISHED_BY
基于EE-SCP框架的金融科技企业价值评估,内蒙古财经大学,PUBLISHED_BY
我国高中化学教科书中视觉表征的历史演进及实证研究,安徽师范大学,PUBLISHED_BY
基于大规模预训练模型的情感分析问题研究,北京邮电大学,PUBLISHED_BY
交通场景中的肢体语言理解关键技术研究,中国矿业大学(北京),PUBLISHED_BY
社交机器人对明星人设坍塌的舆论干预研究,河南大学,PUBLISHED_BY
基于知识图谱的东周列国问答系统的研究与实现,中北大学,PUBLISHED_BY
基于YOLOv5的母猪分娩监控系统研究,华中农业大学,PUBLISHED_BY
以家庭为中心的遗传性结直肠癌基因检测决策辅助工具的构建与应用,吉林大学,PUBLISHED_BY
基于机器视觉路面识别的自动紧急制动策略研究,吉林大学,PUBLISHED_BY
水库防洪调度决策方案的智能优选模型研究,重庆交通大学,PUBLISHED_BY
安徽定远盐矿两个嗜盐古菌新种的多相分类学鉴定及一个胞外蛋白酶基因的克隆和酶学性质研究,安徽师范大学,PUBLISHED_BY
应急救灾物资的政企合作储备策略研究,北京交通大学,PUBLISHED_BY
土槿皮乙酸抗肝细胞癌作用机制及其与索拉非尼协同作用研究,吉林大学,PUBLISHED_BY
有机-无机杂化锰基卤化物的光学性能研究,曲阜师范大学,PUBLISHED_BY
面向磨抛机器人的柔顺控制关键技术研究,北方工业大学,PUBLISHED_BY
长距离调水工程安全风险智能管理方法及在南水北调中线中的应用,华北水利水电大学,PUBLISHED_BY
数字化条件下劳资关系的变化研究,四川大学,PUBLISHED_BY
数字教材设计、开发与实践研究,宁夏大学,PUBLISHED_BY
钌修饰过渡金属氢氧化物的可控合成及其电催化水分解性能研究,安徽大学,PUBLISHED_BY
面向生物制造的超声相控技术研究,中北大学,PUBLISHED_BY
数字经济背景下大连农村电商发展的问题及对策研究,大连海洋大学,PUBLISHED_BY
中国近海四种代表性瓷蟹的分子系统地理学研究,中国科学院大学(中国科学院海洋研究所),PUBLISHED_BY
我国数字经济对农业高质量发展的影响研究,中国社会科学院大学,PUBLISHED_BY
遗传基因组学应用于我国举重运动选材研究,中国天津,PUBLISHED_BY
Bmi-1对胃腺癌糖代谢的影响及基因沉默促进肿瘤细胞凋亡,吉林大学,PUBLISHED_BY
基于人工智能的超声引导与传统超声引导肌间沟臂丛神经阻滞的临床对比研究,南昌大学,PUBLISHED_BY
基于聚类算法的牙齿缺失模式研究及其慢病防治与管理,安徽医科大学,PUBLISHED_BY
基于深度表征学习和动态尺度策略的极化SAR图像分类,西安电子科技大学,PUBLISHED_BY
数字社会中的家长家庭教育胜任力研究,江西师范大学,PUBLISHED_BY
基于比较基因组学技术研究肠球菌乳制品分离株的安全性,内蒙古农业大学,PUBLISHED_BY
多智能体强化学习中协同策略的研究及应用,西安工业大学,PUBLISHED_BY
基于“脾-营卫”思想的电针调控p38MAPK、PI3K通路抗荨麻疹的机制研究,辽宁中医药大学,PUBLISHED_BY
前列腺微生物组与前列腺癌的相关性研究,贵州医科大学,PUBLISHED_BY
电子健康干预措施对大学生身体活动和减少久坐行为效果的系统综述与Meta分析,中国天津,PUBLISHED_BY
数字经济背景下海阳市农旅融合发展问题及对策研究,山东理工大学,PUBLISHED_BY
基于超导量子比特芯片的测控与量子模拟,中国科学院大学(中国科学院物理研究所),PUBLISHED_BY
基于自监督学习与改进轻量级YOLO算法的肠镜息肉检测,华北电力大学(北京),PUBLISHED_BY
Delta并联机器人目标识别与抓取技术研究,中北大学,PUBLISHED_BY
高校思想政治教育数字化发展研究,电子科技大学,PUBLISHED_BY
基于GPT和Attention的方面级情感分析,吉林大学,PUBLISHED_BY
小学三年级学生数学合情推理能力的现状调查及教学策略研究,西南大学,PUBLISHED_BY
基于自然语言处理的法律判决预测系统的设计与实现,西南大学,PUBLISHED_BY
促进内蒙古数字经济发展的财税政策研究,内蒙古财经大学,PUBLISHED_BY
传染病模型的Turing不稳定和Hopf分岔及其控制,南京邮电大学,PUBLISHED_BY
基于深度学习的无人机视角小目标检测算法研究,电子科技大学,PUBLISHED_BY
基于Web of Science数据库精准营养在医学领域的文献计量学研究,中国四川成都,PUBLISHED_BY
基于贪婪规则遗传算法的炼钢车间天车智能调度研究,冶金自动化研究设计院,PUBLISHED_BY
应用倾向性评分方法探索帕金森病抑郁与基因组学的关系,北京协和医学院,PUBLISHED_BY
基于Hi-C技术探究拓扑结构域对猪基因表达调控的影响,佛山科学技术学院,PUBLISHED_BY
基于图像处理的棉花幼苗期杂草识别方法研究,华中农业大学,PUBLISHED_BY
六字诀防治慢性阻塞性肺疾病运动处方研究,中国北京,PUBLISHED_BY
基于CMT和Swin Transformer特征提取网络的图像实例分割方法研究,中国科学技术大学,PUBLISHED_BY
基于特征融合与数据增强的古汉语命名实体识别研究,吉林大学,PUBLISHED_BY
四轮驱动机器人底盘及其运动控制系统研制,齐鲁工业大学,PUBLISHED_BY
磁热效应增强Gd@MoS2单原子催化剂的析氢活性,江西师范大学,PUBLISHED_BY
几类完全非线性偏微分方程解的研究,华北电力大学(北京),PUBLISHED_BY
基于深度学习的文档级实体关系抽取方法研究,山东师范大学,PUBLISHED_BY
空冷器积灰空气射流干式清洗装置设计与实验研究,东北电力大学,PUBLISHED_BY
新疆南部地区核桃树腐烂病菌群体组成分析及适应性研究,塔里木大学,PUBLISHED_BY
TiO2光催化与掺硼金刚石电氧化耦合处理有机废水的研究,中南大学,PUBLISHED_BY
功能化无机纳米药物载体的构建及其激活肿瘤免疫响应和铁死亡的研究,重庆大学,PUBLISHED_BY
基于关系相关性的实体关系抽取方法研究,吉林大学,PUBLISHED_BY
鼠疫知识图谱和基于大模型的智能问答研究,内蒙古农业大学,PUBLISHED_BY
基于决策树模型的成都市3-6岁学龄前儿童体质健康影响因素的研究,成都大学,PUBLISHED_BY
5A护理模式对乳腺癌癌因性疲乏患者的干预效果研究,延安大学,PUBLISHED_BY
乙炔氢氯化钌基催化剂性能与机理研究,天津大学,PUBLISHED_BY
基于P2X7/NLRP3信号通路探讨“三参饮”治疗原发性干燥综合征的机制,南京中医药大学,PUBLISHED_BY
乡村振兴视域下数字乡村建设研究,吉林大学,PUBLISHED_BY
韩国国家情报院职能改革研究,中国人民公安大学,PUBLISHED_BY
基于二元应对理论的老年肺癌患者照顾者网络支持性照护服务方案的构建与初步验证,江苏大学,PUBLISHED_BY
68Ga标记的靶向肝脏ASGPR的PET分子探针的设计合成及生物学评价,江南大学,PUBLISHED_BY
基于机器视觉的金属表面缺陷检测技术研究,哈尔滨工业大学,PUBLISHED_BY
Ni基高熵合金催化剂的制备和染料降解性能研究,济南大学,PUBLISHED_BY
钴基纳米复合材料的制备及其催化氨硼烷水解性能研究,苏州大学,PUBLISHED_BY
金属氧化物纳米酶的制备及其在疾病标志物检测中的应用,哈尔滨工业大学,PUBLISHED_BY
言语理解中环境的动态表征,河北师范大学,PUBLISHED_BY
防务采办知识管理策略研究,中国人民大学,PUBLISHED_BY
医学影像人工智能的可解释性和领域泛化的研究,郑州轻工业大学,PUBLISHED_BY
多元表征视角下的高中数列变式教学研究,集美大学,PUBLISHED_BY
基于磁流变液触觉反馈的血管介入手术机器人控制系统设计与实现,天津理工大学,PUBLISHED_BY
新型色胺酮衍生物：一种用于治疗阿尔茨海默症的多靶点配体,安徽医科大学,PUBLISHED_BY
核酸检测试管分拣机器人设计与研究,吉林大学,PUBLISHED_BY
十款机器翻译平台翻译质量评估,北京邮电大学,PUBLISHED_BY
金属材料动态断裂韧性的表征与测试,哈尔滨工程大学,PUBLISHED_BY
咔唑类反应型氟离子荧光探针的研究,贵州大学,PUBLISHED_BY
公共卫生监测在传染病防治中的应用研究,中国陕西西安,PUBLISHED_BY
融资视角下连续分拆战略及绩效分析,上海财经大学,PUBLISHED_BY
极狭域特有植物辐花苣苔濒危原因及离体培育技术研究,贵州大学,PUBLISHED_BY
基于知识图谱的企业风险管理知识服务模型研究,江西财经大学,PUBLISHED_BY
具有Lévy跳跃的随机传染病模型的变结构控制,沈阳工业大学,PUBLISHED_BY
基于机器视觉的混凝土表面裂缝识别研究,山东大学,PUBLISHED_BY
ZSM-5催化烯烃裂解过程中丙烯的转化行为研究,华东师范大学,PUBLISHED_BY
NEP和CES1基因多态性对沙库巴曲缬沙坦治疗心衰患者疗效和安全性影响研究,南华大学,PUBLISHED_BY
基于机器视觉的板材冲孔质量在线检测系统研究与开发,齐鲁工业大学,PUBLISHED_BY
基于复杂网络的传染病模型动力学分析及其控制策略,贵州大学,PUBLISHED_BY
牙髓干细胞诱导来源的腺上皮样细胞超微结构的研究,河北医科大学,PUBLISHED_BY
