:START_ID(Author_Address),:END_ID(Author_Address),:TYPE
中国航天工业总公司四院四十二所!湖北襄樊，,中国航天科技集团公司四院四十二所!湖北襄樊,ALIAS_OF
低碳合成工程生物学重点实验室,低碳合成工程生物学全国重点实验室,ALIAS_OF
省部共建国家重点实验室培育基地—江苏省食品质量安全重点实验室,江苏省食品质量与安全重点实验室,ALIAS_OF
中国医学科学院北京协和医院呼吸与危重医学科,中国医学科学院北京协和医学院北京协和医院呼吸与危重症医学科,ALIAS_OF
复旦大学附属眼耳鼻喉科医院眼科,复旦大学附属眼耳鼻喉科医院,ALIAS_OF
重庆大学低品位能源利用技术及系统教育部重点实验室,重庆大学低品位能源利用及系统教育部重点实验室,ALIAS_OF
内蒙古医科大学研究生学院,内蒙古医科大学研究生院,ALIAS_OF
北京市海淀区清华东路甲35号,北京市海淀区清华东路35号,ALIAS_OF
合肥综合性国家科学中心人工智能研究院,合肥综合性国家科学中心人工智能实验室,ALIAS_OF
华中科技大学同济医学院第二临床学院(同济医院),华中科技大学同济医学院第二临床学院,ALIAS_OF
宇航智能控制技术国家级重点实验室,宇航智能控制技术全国重点实验室,ALIAS_OF
中国社科院哲学所科技哲学研究室,中国社会科学院哲学研究所科技哲学研究室,ALIAS_OF
广西口腔颌面修复与重建研究重点实验室,广西口腔颌面修复与重建研究自治区级重点实验室,ALIAS_OF
复旦大学附属肿瘤医院复旦大学上海医学院肿瘤学系,复旦大学上海医学院肿瘤学系,ALIAS_OF
湖北武汉,湖北 武汉,ALIAS_OF
湖南省长沙市高新技术产业开发区谷苑路265号,湖南省长沙市长沙高新技术产业开发区谷苑路265号,ALIAS_OF
首都医科大学公共卫生学院北京市临床流行病学重点实验室,首都医科大学公共卫生学院临床流行病学北京市重点实验室,ALIAS_OF
四川大学高分子科学与工程学院先进高分子材料全国重点实验室,四川大学高分子材料工程国家重点实验室,ALIAS_OF
青岛理工大学机械工程学院,青岛理工大学机械与汽车工程学院,ALIAS_OF
中国医科大学附属肿瘤医院,中国医学科学院肿瘤医院,ALIAS_OF
泰州市医药高新技术产业园区公共平台服务中心,泰州医药高新技术产业园区管理委员会公共平台服务中心,ALIAS_OF
内蒙古工业大学内蒙古自治区先进制造技术重点实验室,内蒙古自治区先进制造技术重点实验室,ALIAS_OF
广东省东莞市东华初级中学,东莞市东华初级中学,ALIAS_OF
广东教育学院化学系 广东广州,广东教育学院化学系,ALIAS_OF
中国医学科学院北京协和医学院肿瘤医院综合科,中国医学科学院北京协和医学院肿瘤医院,ALIAS_OF
北京大学遥感与地理信息系统研究所,北京大学地球与空间科学学院遥感与地理信息系统研究所,ALIAS_OF
中国科学院上海有机化学研究所 上海,中国科学院上海有机化学研究所,ALIAS_OF
四川省成都市武侯区一环路南一段24号,四川省成都市一环路南一段24号,ALIAS_OF
韩国首尔大学农业生命科学研究院,韩国首尔大学农业与生命科学院,ALIAS_OF
北京师范大学新闻传播学院,北京师范大学新闻与传播学院,ALIAS_OF
北京跟踪与通信技术研究所,北京跟踪与测控通信技术研究所,ALIAS_OF
河北中医学院河北省心脑血管病中医药防治研究重点实验室,河北中医学院基础医学院河北省心脑血管病中医药防治研究重点实验室,ALIAS_OF
中医络病研究北京重点实验室,中医络病研究北京市重点实验室,ALIAS_OF
山东省济南市山大南路27号,山东省济南市历城区山大南路27号,ALIAS_OF
中国中西医结合学会皮肤性病学专业委员会皮肤色素病学组,中国中西医结合学会皮肤性病专业委员会色素病学组,ALIAS_OF
天津市畜禽健康养殖技术工程中心,天津市畜禽健康养殖工程技术中心,ALIAS_OF
中国中医科学院中医临床基础理论研究所,中国中医科学院中医临床基础医学研究所,ALIAS_OF
北京市西城区展览馆路1号,北京市西城区展览路1号,ALIAS_OF
江苏省南京市江北新区药谷大道11号生命科技岛02栋2层,江苏省南京市江北新区药谷大道11号生命科技岛02栋,ALIAS_OF
海军军医大学第一附属医院消化内科,海军军医大学(第二军医大学)第一附属医院消化内科,ALIAS_OF
浙江省肿瘤医院防治科中国科学院杭州医学研究所,浙江省肿瘤医院中国科学院杭州医学研究所,ALIAS_OF
河北省石家庄市裕华区槐安东路136号,河北省石家庄市槐安东路136号,ALIAS_OF
黑龙江省大庆市高新技术开发区新风路5号,黑龙江省大庆市高新区新风路5号,ALIAS_OF
航天飞行动力学重点实验室,航天飞行动力学技术国家级重点实验室,ALIAS_OF
中国科学院国家天文台中国科学院天文光学技术重点实验室,中国科学院国家天文台天文光学技术重点实验室,ALIAS_OF
蚌埠医科大学研究生院,蚌埠医学院研究生院,ALIAS_OF
中国科学技术大学中国科学院量子信息和量子物理协同创新中心,中国科学技术大学中国科学院量子信息与量子科技创新研究院,ALIAS_OF
湖北科技学院糖尿病心脑血管病变湖北省重点实验室,湖北科技学院医学部糖尿病与心脑血管病变湖北省重点实验室,ALIAS_OF
南京大学化学化工学院 !配位化学国家重点实验室,南京大学配位化学国家重点实验室,ALIAS_OF
河北医科大学研究生院,河北医科大学研究生学院,ALIAS_OF
郑州大学中国气象科学研究院-郑州大学生态气象联合实验室,中国气象科学研究院郑州大学生态气象联合实验室,ALIAS_OF
河南理工大学土木学院,河南理工大学土木工程学院,ALIAS_OF
陕西省地表系统与环境承载力重点实验室,西北大学陕西省地表系统与环境承载力重点实验室,ALIAS_OF
湖北省武汉市武昌珞珈山,湖北省武汉市武昌区珞珈山,ALIAS_OF
中国农业科学院兰州兽医研究所动物疫病防控全国重点实验室兰州大学动物医学院,兰州大学动物医学与生物安全学院动物疫病防控全国重点实验室,ALIAS_OF
天津工业大学机械工程学院天津市现代机电装备技术重点实验室,天津工业大学天津市现代机电装备技术重点实验室,ALIAS_OF
上海益诺思生物技术有限公司,上海益诺思生物技术股份有限公司,ALIAS_OF
扬州大学教育部农业和农产品国际合作联合实验室农业农村部农产品质量安全生物性危害因子(动物源)控制重点实验室江苏省动物重要疫病和人兽共患病防控协同创新中心江苏省人兽共患病重点实验室,扬州大学江苏省人兽共患病学重点实验室,ALIAS_OF
江苏省淮安市经济技术开发区枚乘路1号,江苏省淮安市经济技术开发区枚乘东路1号,ALIAS_OF
南京大学配位化学研究所配位化学国家重点实验室,南京大学配位化学国家重点实验室,ALIAS_OF
北京语言大学汉语国际教育研究院,北京语言大学国际中文教育研究院,ALIAS_OF
中国科学院空间环境态势感知技术重点实验室,中国科学院空间态势感知重点实验室,ALIAS_OF
广东省深圳市福田区保税区腾飞工业大厦B座13层,广东省深圳市福田保税区腾飞工业大厦B座13层,ALIAS_OF
中国地质调查局地球表层碳-汞地球化学循环重点实验室,中国地质科学院地球表层碳-汞地球化学循环重点实验室,ALIAS_OF
湖北省武汉市汉口常青花园学府南路68号,湖北省武汉市东西湖区常青花园学府南路68号,ALIAS_OF
北京师范大学价值与文化研究中心暨哲学学院,北京师范大学价值与文化研究中心、哲学学院,ALIAS_OF
中国疾病预防控制中心卫生应急中心传染病溯源预警与智能决策全国重点实验室,中国疾病预防控制中心传染病溯源预警与智能决策全国重点实验室,ALIAS_OF
清华大学临床医学院北京清华长庚医院临床转化科学中心肝胆胰中心,清华大学附属北京清华长庚医院肝胆胰中心,ALIAS_OF
国家老年疾病临床研究中心,国家老年疾病临床医学研究中心,ALIAS_OF
中国科学院武汉病毒学研究所,中国科学院武汉病毒研究所,ALIAS_OF
南京中医药大学附属医院消化肿瘤外科,南京中医药大学第一附属医院消化肿瘤外科,ALIAS_OF
State Key Laboratory of Chemical Resource Engineering & Beijing Laboratory of Biomedical Materials & Beijing Advanced Innovation Center for Soft Matter Science and Engineering Beijing University of Chemical Technology Beijing China,State Key Laboratory of Chemical Resource Engineering & Beijing Laboratory of Biomedical Materials & Beijing Advanced Innovation Center for Soft Matter Science and Engineering,ALIAS_OF
浙江省温州市鹿城区学院西路82号,浙江省温州市学院西路82号,ALIAS_OF
北京市海淀区5131信箱,北京市海淀区5130信箱,ALIAS_OF
滨州医学院附属烟台山医院胸外科,滨州医学院烟台附属医院胸外科,ALIAS_OF
江苏省南京市宁六路219号,江苏省南京市江北新区宁六路219号,ALIAS_OF
华中农业大学动物医学学院,华中农业大学动物科学技术学院动物医学院,ALIAS_OF
中国医学科学院北京协和医学院阜外医院心内科,中国医学科学院北京协和医学院阜外医院,ALIAS_OF
Dept Polymer Sci & Technol,Dept Polymer Sci & Engn,ALIAS_OF
肿瘤医院中国医学科学院北京协和医学院,中国医学科学院北京协和医学院肿瘤医院,ALIAS_OF
福建省高血压研究所福建医科大学附属第一医院老年医学科、高血压科,福建医科大学附属第一医院,ALIAS_OF
福建省厦门市集美银江路185号,福建省厦门市集美区银江路185号,ALIAS_OF
海军军医大学基础医学院学员一大队,海军军医大学(第二军医大学)基础医学院学员一大队,ALIAS_OF
广东省职业病防治院广东省职业病防治重点实验室,广东省职业病防治重点实验室,ALIAS_OF
呼和浩特市第一医院变态(过敏)反应科,呼和浩特市第一医院变态(过敏)反应中心,ALIAS_OF
北京协和医院呼吸与危重症医学科,中国医学科学院北京协和医学院北京协和医院呼吸与危重症医学科,ALIAS_OF
生命科学技术学院,生命科学与技术学院,ALIAS_OF
复旦大学公共卫生学院国家卫生健康委员会卫生技术评估重点实验室(复旦大学),国家卫生健康委员会卫生技术评估重点实验室(复旦大学),ALIAS_OF
中国人民解放军总医院第五医学中心感染病医学部研究所,中国人民解放军总医院第五医学中心感染病医学部,ALIAS_OF
武汉理工大学汽车零部件技术湖北省协同创新中心,武汉理工大学汽车工程学院汽车零部件技术湖北省协同创新中心,ALIAS_OF
江苏省作物基因组学和分子育种重点实验室,江苏省作物基因组学与分子育种重点实验室,ALIAS_OF
四川大学华西医院临床医学院,四川大学华西临床医学院,ALIAS_OF
西安国际医学中心医院检验中心,西安国际医学中心医院医学检验科,ALIAS_OF
广西中医药大学第一附属医院脾胃肝病科,广西中医药大学第一附属医院脾胃病科,ALIAS_OF
湖南省湘潭市福星东路88号,湖南省湘潭市岳塘区福星东路88号,ALIAS_OF
成都中医药大学附属银海眼科医院,成都中医大银海眼科医院,ALIAS_OF
云南民族大学民族医药学院民族药资源化学教育部重点实验室,云南民族大学民族医药学院民族药资源化学国家民委-教育部重点实验室,ALIAS_OF
合肥微尺度物质科学国家实验室与物理学院近代物理系,合肥微尺度物质科学国家实验室,ALIAS_OF
上海市浦东新区自由贸易试验区临港新片区云汉路979号2楼,上海市浦东新区中国(上海)自由贸易试验区临港新片区云汉路979号2楼,ALIAS_OF
兽用生物制品<泰州>国泰技术创新中心,兽用生物制品(泰州)国泰技术创新中心,ALIAS_OF
浙江大学医学院公共卫生系,浙江大学公共卫生学院,ALIAS_OF
南京大学物理系固体微结构国家实验室,南京大学固体微结构物理国家重点实验室,ALIAS_OF
南方医科大学皮肤病医院皮肤科,南方医科大学皮肤病医院,ALIAS_OF
徐汇区疾病预防控制中心,上海市徐汇区疾病预防控制中心,ALIAS_OF
河北科技师范学院动物科技学院河北省预防兽医重点实验室,河北科技师范学院动物科技学院(河北省预防兽医学重点实验室),ALIAS_OF
天津市经济技术开发区第十三大街9号,天津市滨海新区天津经济技术开发区第十三大街9号,ALIAS_OF
上海交通大学物理与天文学院区域光纤通信网与新型光通信系统国家重点实验室,上海交通大学区域光纤通信网与新型光通信系统国家重点实验室,ALIAS_OF
北京师范大学法学院暨刑事法律科学研究院,北京师范大学刑事法律科学研究院,ALIAS_OF
陕西省西安市长安区航天产业园飞天路289号,陕西省西安市航天基地航天西路289号,ALIAS_OF
固体表面物理化学国家重点实验室厦门大学化学化工学院化学系,厦门大学固体表面物理化学国家重点实验室,ALIAS_OF
山东省济南市高新区浪潮路1036号浪潮科技园S06号楼,山东省济南市高新区浪潮路1036号浪潮科技园,ALIAS_OF
山东大学附属省立医院(山东省立医院)泌尿外科,山东省立医院泌尿外科,ALIAS_OF
河南省郑州市二七区建设路1号,河南省郑州市二七区建设东路1号,ALIAS_OF
北京医院国家老年医学中心中国医学科学院老年医学研究院院办公室,北京医院国家老年医学中心中国医学科学院老年医学研究院,ALIAS_OF
河南省人民医院肿瘤科,河南省人民医院肿瘤中心,ALIAS_OF
深圳市人工智能与机器人研究院,深圳人工智能与机器人研究院,ALIAS_OF
本源量子计算科技(合肥)股份有限公司,合肥本源量子计算科技有限责任公司,ALIAS_OF
皮革化学与工程教育部重点实验室(四川大学),四川大学皮革化学与工程教育部重点实验室,ALIAS_OF
北京邮电大学网络与交换技术国家重点实验室,北京邮电大学网络与交换全国重点实验室,ALIAS_OF
中国人民解放军骨科研究所全军骨科战创伤重点实验室骨科再生医学北京市重点实验室,中国人民解放军总医院第一医学中心骨科研究所骨科再生医学北京市重点实验室全军骨科战创伤重点实验室,ALIAS_OF
重庆市儿科重点实验室,儿科学重庆市重点实验室,ALIAS_OF
南瑞集团有限公司(国网电力科学研究院有限公司),南瑞集团(国网电力科学研究院)有限公司,ALIAS_OF
Department of Inorganic and Physical Chemistry,Department of Inorganic & Structural Chemistry,ALIAS_OF
安徽动物疫病预防与控制中心,安徽省动物疫病预防与控制中心,ALIAS_OF
天津市现代机电装备技术重点实验室,天津工业大学天津市现代机电装备技术重点实验室,ALIAS_OF
加拿大魁北克省,加拿大魁北克,ALIAS_OF
新疆大学中国语言文学学院中文系,新疆大学中国语言文学学院,ALIAS_OF
复旦大学附属华山医院心内科,复旦大学华山医院心脏科,ALIAS_OF
Department of inorganic and physical chemistry,Department of Inorganic & Structural Chemistry,ALIAS_OF
中国医学科学院北京协和医学院国家心血管病中心阜外医院结构性心脏病中心,中国医学科学院北京协和医学院阜外医院,ALIAS_OF
清华大学科技与社会研究所,清华大学科技与社会研究中心,ALIAS_OF
上海市松江区松江新城区人民北路2999号,上海市松江区人民北路2999号,ALIAS_OF
华中科技大学同济医学院附属同济医院妇科肿瘤科,华中科技大学同济医学院附属同济医院妇科肿瘤专科,ALIAS_OF
山东省济南市高新区浪潮路1036号浪潮科技园S01号楼,山东省济南市高新区浪潮路1036号浪潮科技园,ALIAS_OF
江苏省植物资源研究与利用重点实验室,江苏省植物资源与利用重点实验室,ALIAS_OF
贵州医科大学环境污染与疾病监控教育部重点实验室,贵州医科大学公共卫生与健康学院环境污染与疾病监控教育部重点实验室,ALIAS_OF
中国台湾新竹市新竹科学工业园区力行六路8号,中国台湾新竹市新竹科学工业园力行六路8号,ALIAS_OF
南开大学计算机学院网络空间安全学院,南开大学网络空间安全学院,ALIAS_OF
北京师范大学北京市陆表遥感数据产品工程技术研究中心,北京师范大学地理科学学部遥感与工程研究院,ALIAS_OF
赣南师范学院化学与生命科学系,赣南师范学院化学与生命科学学院,ALIAS_OF
北京医院生物治疗中心国家老年医学中心中国医学科学院老年医学研究院,北京医院国家老年医学中心中国医学科学院老年医学研究院,ALIAS_OF
山东大学晶体材料国家重点实验室新一代半导体材料研究院晶体材料研究院,山东大学新一代半导体材料研究院晶体材料国家重点实验室,ALIAS_OF
国家兽用药品工程技术研究中心,国家兽用生物制品工程技术研究中心,ALIAS_OF
北京农学院动物科学技术学院兽医学(中兽医)北京市重点实验室,兽医学(中医药)北京市重点实验室,ALIAS_OF
北京分子科学国家研究中心北京大学高分子化学与物理教育部重点实验室北京大学软物质科学与工程中心北京大学化学与分子工程学院,北京大学化学与分子工程学院,ALIAS_OF
天津医科大学肿瘤医院国家恶性肿瘤临床医学研究中心,天津医科大学肿瘤医院(国家恶性肿瘤临床医学研究中心),ALIAS_OF
福建医科大学附属第一医院期刊中心中华高血压杂志编辑部,福建医科大学附属第一医院期刊中心《中华高血压杂志》编辑部,ALIAS_OF
重庆西南集成电路设计有限责任公司,中国电子科技集团重庆西南集成电路设计有限责任公司,ALIAS_OF
哈尔滨工业大学应用化学系 黑龙江哈尔滨,哈尔滨工业大学应用化学系,ALIAS_OF
河南中医药大学河南省中医药防治呼吸病重点实验室河南中医药大学呼吸疾病中医药防治省部共建协同创新中心,河南中医药大学呼吸疾病中医药防治省部共建协同创新中心,ALIAS_OF
吉林大学化学院,吉林大学化学学院,ALIAS_OF
广东省广州市番禺区大学城外环东路280号,广东省广州市大学城外环东路280号,ALIAS_OF
中国科学院国家天文台南京天文光学技术研究所,中国科学院南京天文光学技术研究所,ALIAS_OF
苏州市虚拟现实智能交互应用技术重点实验室,苏州市虚拟现实智能交互及应用技术重点实验室,ALIAS_OF
广州医科大学附属第一医院国家呼吸系统疾病临床医学研究中心国家呼吸医学中心呼吸疾病全国重点实验室广州呼吸健康研究院,广州医科大学附属第一医院广州呼吸健康研究院,ALIAS_OF
重庆医科大学附属儿童医院新生儿诊疗中心,重庆医科大学附属儿童医院新生儿中心,ALIAS_OF
中山大学化学与化学工程学院!广州,中山大学化学与化学工程学院 广州,ALIAS_OF
江苏省生物材料与器件重点实验室东南大学生物科学与医学工程学院,江苏省生物材料与器件重点实验室,ALIAS_OF
海南省医科大学公共卫生学院,海南医科大学公共卫生学院,ALIAS_OF
军事科学院军事医学研究院微生物流行病研究所病原微生物生物安全国家重点实验室,军事医学科学院微生物流行病研究所病原微生物生物安全国家重点实验室,ALIAS_OF
西安市中医院,西安市中医医院,ALIAS_OF
北京大学稀土材料化学及应用国家重点实验室,北京大学化学与分子工程学院稀土材料化学及应用国家重点实验室,ALIAS_OF
Zurich,Zürich,ALIAS_OF
湖北省武汉市解放大道1863号,湖北省武汉市江岸区解放大道1863号,ALIAS_OF
中国科学院大气物理研究所大气科学和地球流体力学数值模拟国家重点实验室(LASG),中国科学院大气物理研究所大气科学与地球流体力学数值模拟国家重点实验室(LASG),ALIAS_OF
农业农村部国家数字渔业创新中心,中国农业大学国家数字渔业创新中心,ALIAS_OF
厦门大学公共卫生学院分子疫苗学和分子诊断学国家重点实验室国家传染病诊断试剂与疫苗工程技术研究中心,厦门大学公共卫生学院分子疫苗学与分子诊断国家重点实验室,ALIAS_OF
中国医学科学院&北京协和医学院医学生物学研究所,中国医学科学院北京协和医学院医学生物学研究所,ALIAS_OF
东南大学化学化工系,东南大学化学化工学院,ALIAS_OF
湖北大学化学与材料科学学院 湖北 武汉,湖北大学化学与材料科学学院 武汉,ALIAS_OF
中国科学院量子信息与量子科技创新研究院,中国科学技术大学中国科学院量子信息与量子科技创新研究院,ALIAS_OF
北京师范大学化学系,北京师范大学化学学院,ALIAS_OF
首都医科大学附属北京安贞医院心血管内科冠心病中心,首都医科大学附属北京安贞医院冠心病中心,ALIAS_OF
江苏省疾病预防控制中心慢性非传染病防制所,江苏省疾病预防控制中心慢性非传染性疾病防制所,ALIAS_OF
锦州医科大学附属第一医院,锦州医科大学第一附属医院,ALIAS_OF
广东省广州市东风东路729,广东省广州市东风东路729号,ALIAS_OF
北京协和医学院研究生院中国医学科学院,中国医学科学院北京协和医学院研究生院,ALIAS_OF
北京师范大学地表过程与资源生态国家重点实验室,北京师范大学地理科学学部地表过程与资源生态国家重点实验室,ALIAS_OF
电子科技大学附属医院,电子科技大学医院,ALIAS_OF
山东中医药大学附属医院,山东中医药大学第一附属医院,ALIAS_OF
Heriot Watt University,Heriot-Watt University,ALIAS_OF
苏州大学放射医学与辐射防护国家重点实验室放射医学及交叉研究院(RAD-X)江苏省高等学校医学协同创新中心,苏州大学放射医学与辐射防护国家重点实验室放射医学与防护学院放射医学及交叉学科研究院江苏高校放射医学协同创新中心,ALIAS_OF
华东师范大学上海市磁共振重点实验室,上海市磁共振重点实验室华东师范大学物理与材料科学学院,ALIAS_OF
香港理工大学工业及系统工程学系,香港理工大学工业与系统工程学系,ALIAS_OF
香港中文大学(深圳)经管学院,香港中文大学(深圳)经济管理学院,ALIAS_OF
疑难重症及罕见病国家重点实验室,疑难重症及罕见病全国重点实验室,ALIAS_OF
Biomolecular Crystallography Laboratory and DBT-Bioinformatics Center (BIC),Biomolecular Crystallography Laboratory and DBT-Bioinformatics Center,ALIAS_OF
河南中医药大学第一附属医院护理部,河南中医药大学第一附属医院护理学科,ALIAS_OF
海南医科大学附属海南医院肾内科,海南医学院第二附属医院肾内科,ALIAS_OF
浙江省杭州市江陵路1760号,浙江省杭州市滨江区江陵路1760号,ALIAS_OF
辽宁省沈阳市和平区文化路三巷11号,辽宁省沈阳市和平区文化路3号巷11号,ALIAS_OF
中国科学院过程工程研究所绿色过程与工程重点实验室,中国科学院绿色过程与工程重点实验室,ALIAS_OF
北京大学肿瘤医院暨北京市肿瘤防治研究所流行病学研究室消化系肿瘤整合防治全国重点实验室恶性肿瘤转化研究北京市重点实验室,北京大学肿瘤医院暨北京市肿瘤防治研究所,ALIAS_OF
东南大学公共卫生学院流行病与卫生统计系,东南大学公共卫生学院流行病与卫生统计学系,ALIAS_OF
食品科学与技术国家重点实验室(江南大学),江南大学食品科学与技术国家重点实验室,ALIAS_OF
北京大学化学与分子工程学院 北京,北京大学化学与分子工程学院,ALIAS_OF
辽宁省大连市高新园区凌工路2号,辽宁省大连市高新区凌工路2号,ALIAS_OF
中国科学技术大学合肥微尺度物质科学国家实验室 合肥,合肥微尺度物质科学国家实验室,ALIAS_OF
中国航天科工集团第二研究院,中国航天科工集团有限公司第二研究院,ALIAS_OF
天津工业大学天津市现代机电设备技术重点实验室,天津工业大学天津市现代机电装备技术重点实验室,ALIAS_OF
扬州大学临床医学院扬州大学医学院(转化医学研究院)江苏省中西医结合老年病防治重点实验室,扬州大学医学院(转化医学研究院)江苏省中西医结合老年病防治重点实验室,ALIAS_OF
四川省成都市成华区二仙桥东三路1号,四川省成都市二仙桥东三路1号,ALIAS_OF
中国科学院兰州化学物理研究所!固体润滑国家重点研究实验室,中国科学院兰州化学物理研究所固体润滑国家重点实验室,ALIAS_OF
吉林建筑科技学院基础科学部,吉林建筑大学基础科学部,ALIAS_OF
辽宁省沈阳市精神卫生中心,沈阳市精神卫生中心,ALIAS_OF
中国医学科学院北京协和医院药剂科,中国医学科学院北京协和医学院北京协和医院药剂科,ALIAS_OF
清华大学化学系生命有机磷化学及化学生物学教育部重点实验室,清华大学化学系清华-北大生命科学联合中心生命有机磷化学与化学生物学教育部重点实验室,ALIAS_OF
唐山市工人医院心内四科,唐山市工人医院心内科,ALIAS_OF
江苏省无锡市滨湖区蠡湖大道1800号,中国江苏省无锡市滨湖区蠡湖大道1800号,ALIAS_OF
日本爱知县,日本国爱知县,ALIAS_OF
Shaanxi University of Science and Technology,Shaanxi University of Science & Technology,ALIAS_OF
军事科学院军事医学研究院国家安全特需药品全国重点实验室,军事医学研究院国家安全特需药品全国重点实验室,ALIAS_OF
河北省石家庄市裕翔街26号,河北省石家庄市裕华区裕翔街26号,ALIAS_OF
青海省动物疾病病原诊断与绿色防控技术研究重点实验室,青海省动物疫病病原诊断与绿色防控技术研究重点实验室,ALIAS_OF
超分子结构与材料国家重点实验室吉林大学化学学院,吉林大学超分子结构与材料国家重点实验室,ALIAS_OF
天津市滨海新区高新区华苑产业区(环外)海泰南道十八号14-2-307,天津市滨海新区滨海高新区华苑产业区(环外)海泰南道十八号14-2-307,ALIAS_OF
广州医科大学第二附属医院,广州医科大学附属第二医院,ALIAS_OF
南宁职业技术学院建筑工程学院,南宁职业技术大学建筑工程学院,ALIAS_OF
上海市疾病预防控制中心慢病防治科,上海市徐汇区疾病预防控制中心慢病防治科,ALIAS_OF
北京市昌平区北七家未来科技城国家电网园区,北京市昌平区北七家未来科技城北区国家电网公司办公区,ALIAS_OF
厦门大学经济管理学院,厦门大学经济学院,ALIAS_OF
北京大学第一医院肾内科肾脏病研究所,北京大学第一医院肾内科北京大学肾脏疾病研究所,ALIAS_OF
山东大学齐鲁医学院公共卫生学院卫生管理与政策研究中心,山东大学公共卫生学院卫生管理与政策研究中心,ALIAS_OF
国家卫生健康委员会卫生经济与政策研究重点实验室(山东大学),国家卫生健康委卫生经济与政策研究重点实验室(山东大学),ALIAS_OF
江苏省粮食作物现代产业技术协同创新中心扬州大学,扬州大学江苏省粮食作物现代产业技术协同创新中心,ALIAS_OF
滨州医学院特殊教育与康复学院听觉言语康复科学研究院,滨州医学院特殊教育与康复学院听力与言语康复研究院,ALIAS_OF
湖南省长沙市湘雅路87号,湖南省长沙市开福区湘雅路87号,ALIAS_OF
中山大学化学工程与技术学院,中山大学化学与化学工程学院,ALIAS_OF
中共中央党校(国家行政学院)经济学教研室,中共中央党校(国家行政学院)经济学教研部,ALIAS_OF
辽宁石油化工大学化学化工与环境学部石油化工学院,辽宁石油化工大学石油化工学院,ALIAS_OF
西安空间无线电技术研究所空间微波技术重点实验室,中国空间技术研究院西安分院空间微波技术重点实验室,ALIAS_OF
中国农业大学动物医学院兽医公共卫生安全全国重点实验室农业农村部动物流行病学重点实验室,中国农业大学动物医学院兽医公共卫生安全全国重点实验室,ALIAS_OF
北京市通州区粮市街2号院6号楼9层905室,北京市通州区粮市街2号院6号楼9层905,ALIAS_OF
中共辽宁省委党校(辽宁行政学院,中共辽宁省委党校(辽宁行政学院),ALIAS_OF
天津大学化工学院化学工程研究所 天津,天津大学化工学院化学工程研究所,ALIAS_OF
Nanjing University of Information Science & Technology,Nanjing University of Information Science and Technology,ALIAS_OF
山西医科大学附属第二医院,山西医科大学第二医院,ALIAS_OF
中国社会科学院数量经济与技术经济研究所,中国社会科学院大学数量经济与技术经济研究所,ALIAS_OF
兰州大学附属第一医院放射科,兰州大学第一医院放射科,ALIAS_OF
中国地质大学（武汉）经济管理学院,中国地质大学(武汉)经济管理学院,ALIAS_OF
内蒙古医科大学附属人民医院,内蒙古医科大学附属医院,ALIAS_OF
太原理工大学化学与化工学院,太原理工大学化学工程与技术学院,ALIAS_OF
